Source,Target,weight
ADLR,AVFR,1
ADLR,AVHR,1
ADLR,PVPR,1
ADLR,AIBR,1
ADLR,AVDL,1
ADLR,SMBVR,1
BAGL,AQR,1
BAGL,AINL,1
BAGL,RIH,1
BAGL,AIYR,1
BAGL,AUAR,1
BAGL,RIBR,1
BAGL,RIGR,1
BAGL,AIBR,1
BAGL,RIAR,1
BAGL,RMFR,1
BAGL,CEMVR,1
URXL,CEPDL,1
URXL,RMGL,1
URXL,RMDR,1
URXR,IL2R,1
URXR,CEPVR,1
URXR,IL1R,1
URXR,AIMR,1
URXR,AUAR,1
URXR,RIGR,1
URXR,RMGR,1
URXR,RICL,1
URXR,RIAR,1
URXR,AVER,1
URXR,AVAR,1
ALNL,RIGL,1
ALNL,RMGL,1
ALNL,SAAVL,1
ALNL,SAAVR,1
ALNL,RIMR,1
ALNL,AVAR,1
ALNL,SMDDR,1
ALNL,SMBDR,1
ALNL,SIADR,1
ALNL,R9BL,1
ALNR,RMGR,1
ALNR,SAAVR,1
ALNR,SMDDL,1
ALNR,SMDVR,1
ALNR,SMBDL,1
ALNR,SIAVR,1
PLNL,RIGL,1
PLNL,RMGL,1
PLNL,SAADL,1
PLNL,SAAVL,1
PLNL,RMDVR,1
PLNL,SMDVR,1
PLNL,SMBVL,1
PLNL,SIAVL,1
PLNL,SIAVR,1
PLNL,R9BL,1
PLNR,RIGR,1
PLNR,RMGR,1
PLNR,SAADR,1
PLNR,SMDDR,1
PLNR,SMBVR,1
PLNR,R6AR,1
PLNR,R7BR,1
SDQL,SDQR,1
SDQL,SAADR,1
SDQL,SMBDR,1
SDQL,SIADR,1
SDQR,SDQR,1
SDQR,ALMR,1
SDQR,FLPL,1
SDQR,FLPR,1
SDQR,DVA,1
SDQR,PVR,1
SDQR,AVBL,1
SDQR,AVBR,1
SDQR,PVCL,1
SDQR,RIVL,1
SDQR,RIVR,1
SDQR,SMBDL,1
SDQR,SIADL,1
AQR,ALMR,1
AQR,FLPL,1
AQR,DVA,1
AQR,ADEL,1
AQR,PVPR,1
AQR,AVDL,1
AQR,AVDR,1
AQR,RIAL,1
AQR,RIAR,1
AQR,AVBL,1
AQR,AVBR,1
AQR,AVAR,1
AQR,PVCL,1
AQR,PVCR,1
AQR,MCML,1
AQR,MCMR,1
PQR,PHBL,1
PQR,AVFL,1
PQR,AVFR,1
PQR,PVPL,1
PQR,LUAL,1
PQR,PVNL,1
PQR,PVNR,1
PQR,AVG,1
PQR,AVJL,1
PQR,AVDL,1
PQR,AVDR,1
PQR,PVWL,1
PQR,AVBR,1
PQR,AVAL,1
PQR,AVAR,1
PQR,DA06,1
PQR,DA08,1
PQR,DB06,1
PQR,DD05,1
PQR,VA11,1
PQR,VA12,1
PQR,VB09,1
PQR,VB10,1
PQR,R1BR,1
PQR,R3BL,1
PQR,R3BR,1
PQR,R7BL,1
PQR,R7BR,1
PQR,R9BL,1
PQR,SPVR,1
PQR,PVX,1
PQR,PVY,1
PQR,EF02,1
PQR,EF03,1
ALML,CEPDL,1
ALML,CEPVL,1
ALML,BDUL,1
ALML,AVJL,1
ALML,AVBR,1
ALML,PVCL,1
ALML,MCML,1
ALMR,CEPDR,1
ALMR,CEPVR,1
ALMR,BDUR,1
ALMR,RMGR,1
ALMR,AVDL,1
ALMR,AVBL,1
ALMR,PVCR,1
AVM,RIFR,1
AVM,BDUR,1
AVM,AVHL,1
AVM,RIBR,1
AVM,AVJL,1
AVM,AVDR,1
AVM,RIMR,1
AVM,AVBL,1
AVM,AVBR,1
AVM,PVCL,1
AVM,PVCR,1
AVM,SMBVL,1
AVM,MCMR,1
AVM,EF03,1
PVM,PVM,1
PVM,DVA,1
PVM,PDEL,1
PVM,PDER,1
PVM,AVKL,1
PVM,AVKR,1
PLML,DVA,1
PLML,PDEL,1
PLML,PDER,1
PLML,AVDR,1
PLML,AVAL,1
PLML,VA09,1
PLML,VA10,1
PLML,VB07,1
PLML,VB08,1
PLML,R1AL,1
PLMR,DVA,1
PLMR,PDEL,1
PLMR,PDER,1
PLMR,AVDL,1
PLMR,AVDR,1
PLMR,AVAL,1
PLMR,AVAR,1
PLMR,AS11,1
PLMR,R6AR,1
FLPL,FLPR,1
FLPL,RIS,1
FLPL,PVR,1
FLPL,RIGR,1
FLPL,AIBL,1
FLPL,DVC,1
FLPL,AVDL,1
FLPL,AVEL,1
FLPL,AVBL,1
FLPL,AVAL,1
FLPL,AVAR,1
FLPL,PVCL,1
FLPL,SMDDR,1
FLPR,FLPR,1
FLPR,AIBL,1
FLPR,AIBR,1
FLPR,RIML,1
FLPR,AVAL,1
FLPR,AVAR,1
FLPR,RIVR,1
DVA,DVA,1
DVA,PVDR,1
DVA,ADEL,1
DVA,PDEL,1
DVA,PDER,1
DVA,PHAR,1
DVA,RIH,1
DVA,RIR,1
DVA,AUAR,1
DVA,AIZL,1
DVA,AIZR,1
DVA,PVR,1
DVA,AVHL,1
DVA,AIBR,1
DVA,SAADR,1
DVA,SAAVL,1
DVA,SAAVR,1
DVA,AVKL,1
DVA,AVDR,1
DVA,RIAL,1
DVA,RIAR,1
DVA,RIMR,1
DVA,AVEL,1
DVA,AVER,1
DVA,AVAR,1
DVA,PVCL,1
DVA,SABD,1
DVA,SMBDR,1
DVA,SMBVL,1
DVA,SMBVR,1
DVA,DB03,1
